
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell: 1987   3000.00      0.00    -15.96  840    0 1988    0  cliff   wall  rocks   wall
Object:   OBJ00001   1987     V3sb    10.00      fauna     1.00     1.00            olivedrab     triped      small     blinding
Object:   OBJ00002   1987     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00003   1987     c3mn    10.00      fauna     5.00    10.00                 cyan     triped     medium         none
Object:   OBJ00004   1987     c3tb    10.00      fauna     0.10     0.10                 cyan     triped       tiny     blinding
Object:   OBJ00005   1987     drm5   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium     5candela
Cell: 1988   4000.00      0.00    -12.80  841    0 1989 1987  rocks   wall  rocks  rocks
Object:   OBJ00006   1988     crsn    50.00    mineral     1.00     1.00                 cyan       rock      small         none
Object:   OBJ00007   1988     crsn   -50.00    mineral     1.00     1.00                 cyan       rock      small         none
Object:   OBJ00008   1988     crmn   -50.00    mineral     5.00    10.00                 cyan       rock     medium         none
Object:   OBJ00009   1988     d3tn    10.00      fauna     0.10     0.10        dayglo-orange     triped       tiny         none
Object:   OBJ00010   1988     c3mn   -50.00      fauna     5.00    10.00                 cyan     triped     medium         none
Cell: 1989   5000.00      0.00    -28.76  842    0 1990 1988  rocks   wall  rocks  rocks
Object:   OBJ00011   1989     crsn    50.00    mineral     1.00     1.00                 cyan       rock      small         none
Object:   OBJ00012   1989     Vrsb    50.00    mineral     1.00     1.00            olivedrab       rock      small     blinding
Object:   OBJ00013   1989     d3mn    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium         none
Object:   OBJ00014   1989     c3mn   -50.00      fauna     5.00    10.00                 cyan     triped     medium         none
Object:   OBJ00015   1989     drm5   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium     5candela
Cell: 1990   6000.00      0.00    -22.52  843    0 1991 1989  rocks   wall  rocks  rocks
Object:   OBJ00016   1990     crsb    50.00    mineral     1.00     1.00                 cyan       rock      small     blinding
Object:   OBJ00017   1990     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00018   1990     d3sn    10.00      fauna     1.00     1.00        dayglo-orange     triped      small         none
Object:   OBJ00019   1990     c3mn    10.00      fauna     5.00    10.00                 cyan     triped     medium         none
Object:   OBJ00020   1990     d3sb    10.00      fauna     1.00     1.00        dayglo-orange     triped      small     blinding
Cell: 1991   7000.00      0.00    -37.43  844    0 1992 1990  rocks   wall  rocks  rocks
Object:   OBJ00021   1991     Vrm5    10.00    mineral     5.00    10.00            olivedrab       rock     medium     5candela
Object:   OBJ00022   1991     VBtn    10.00      flora     0.10     0.10            olivedrab       bush       tiny         none
Object:   OBJ00023   1991     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00024   1991     crsb    50.00    mineral     1.00     1.00                 cyan       rock      small     blinding
Object:   OBJ00025   1991     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Cell: 1992   8000.00      0.00    -32.20  845    0 1993 1991  rocks   wall  rocks  rocks
Object:   OBJ00026   1992     d3m5   -50.00      fauna     5.00    10.00        dayglo-orange     triped     medium     5candela
Object:   OBJ00027   1992     drsb    50.00    mineral     1.00     1.00        dayglo-orange       rock      small     blinding
Object:   OBJ00028   1992     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00029   1992     c3tn    10.00      fauna     0.10     0.10                 cyan     triped       tiny         none
Object:   OBJ00030   1992     cBsb    50.00      flora     1.00     1.00                 cyan       bush      small     blinding
Cell: 1993   9000.00      0.00    -21.98  846    0 1994 1992  rocks   wall  rocks  rocks
Object:   OBJ00031   1993     crsn   -50.00    mineral     1.00     1.00                 cyan       rock      small         none
Object:   OBJ00032   1993     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00033   1993     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00034   1993     V3tb    10.00      fauna     0.10     0.10            olivedrab     triped       tiny     blinding
Object:   OBJ00035   1993     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Cell: 1994  10000.00      0.00    -37.27  847    0 1995 1993  rocks   wall  rocks  rocks
Object:   OBJ00036   1994     V3t5    10.00      fauna     0.10     0.10            olivedrab     triped       tiny     5candela
Object:   OBJ00037   1994     crmn    50.00    mineral     5.00    10.00                 cyan       rock     medium         none
Object:   OBJ00038   1994     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00039   1994     V3sb    10.00      fauna     1.00     1.00            olivedrab     triped      small     blinding
Object:   OBJ00040   1994     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Cell: 1995  11000.00      0.00    -27.88  848    0 1996 1994  rocks   wall  rocks  rocks
Object:   OBJ00041   1995     c3tn    10.00      fauna     0.10     0.10                 cyan     triped       tiny         none
Object:   OBJ00042   1995     V3s5    10.00      fauna     1.00     1.00            olivedrab     triped      small     5candela
Object:   OBJ00043   1995     c3t5    10.00      fauna     0.10     0.10                 cyan     triped       tiny     5candela
Object:   OBJ00044   1995     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00045   1995     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Cell: 1996  12000.00      0.00     -9.34 2009    0 1997 1995  rocks   wall  cliff  rocks
Object:   OBJ00046   1996     drmn   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium         none
Object:   OBJ00047   1996     VBmb    10.00      flora     5.00    10.00            olivedrab       bush     medium     blinding
Object:   OBJ00048   1996     d3mn    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium         none
Object:   OBJ00049   1996     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00050   1996     c3m5    10.00      fauna     5.00    10.00                 cyan     triped     medium     5candela
Cell: 1997  13000.00      0.00   -526.53 2010    0 1998 1996  rocks   wall  rocks   wall
Object:   OBJ00051   1997     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00052   1997     V3sb    50.00      fauna     1.00     1.00            olivedrab     triped      small     blinding
Object:   OBJ00053   1997     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00054   1997     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
