
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell: 7366   6000.00      0.00   -343.11 7383    0 7367    0  plain   wall  plain   wall
Object:   OBJ00001   7366      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00002   7366      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00003   7366      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00004   7366      cBt    10.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00005   7366      c3s   -50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00006   7366      crt   -50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00007   7366      Vrt   -50.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00008   7366      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00009   7366      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00010   7366      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00011   7366      cBm    50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00012   7366      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00013   7366      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00014   7366      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00015   7366      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00016   7366      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00017   7366      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00018   7366      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00019   7366      crs   -50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00020   7366      crt    10.00    mineral     0.10     0.10                 cyan       rock       tiny             
Cell: 7367   7000.00      0.00   -413.48 7384    0 3944 7366  plain   wall  plain  plain
Object:   OBJ00021   7367      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00022   7367      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00023   7367      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00024   7367      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00025   7367      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00026   7367      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00027   7367      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00028   7367      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00029   7367      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00030   7367      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00031   7367      Vrs    10.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00032   7367      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00033   7367      c3t   -50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00034   7367      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00035   7367      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00036   7367      drt   -50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00037   7367      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00038   7367      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
